project_title,short_description,long_description,Crisis finance determination,Crisis finance confidence ML
in support of expanding access and deployment of rapid diagnostic testing for COVID-19 in low- and middle-income countries,IN SUPPORT OF EXPANDING ACCESS AND DEPLOYMENT OF RAPID DIAGNOSTIC TESTING FOR COVID-19 IN LOW- AND MIDDLE-INCOME COUNTRIES,Programme: Health Initiative. Description: in support of expanding access and deployment of rapid diagnostic testing for COVID-19 in low- and middle-income countries,Yes,0.993831515312195
in support of expanding access and deployment of rapid diagnostic testing for COVID-19 in low- and middle-income countries,IN SUPPORT OF EXPANDING ACCESS AND DEPLOYMENT OF RAPID DIAGNOSTIC TESTING FOR COVID-19 IN LOW- AND MIDDLE-INCOME COUNTRIES,Programme: Health Initiative. Description: in support of expanding access and deployment of rapid diagnostic testing for COVID-19 in low- and middle-income countries,Yes,0.993831515312195
COVID-19: Humanitarian Aid Convoy for North Macedonia,COVID-19: HUMANITARIAN AID CONVOY FOR NORTH MACEDONIA,W ramach konwoju dla Macedonii PÃ³lnocnej w maju 2021 r. przekazano:â¢126 tys. rekawiczek ochronnychâ¢100 tys. masek chirurgicznychâ¢10 tys. masek FFP3 â¢660 litrÃ³w plynu do dezynfekcji Darowizna rzeczowa zostala przekazana FSM przez Biuro Bezpieczenstwa Narodowego.,Yes,0.993827402591705
SUPPORT FOR FOOD SAFETY AMONG THE CENTRAL AFRICAN REFUGEE FAMILIES AND WELCOMING FAMILIES IN THE TERRITORY OF BOSOBOLO,SUPPORT FOR FOOD SAFETY AMONG THE CENTRAL AFRICAN REFUGEE FAMILIES AND WELCOMING FAMILIES IN THE TERRITORY OF BOSOBOLO,"Hacemos frente a la crisis alimentaria padecida por la poblaciÃ³n de eje BILI-GBANGI, territorio de Bosobolo, Nord Ubangui, agravada con la llegada de poblaciÃ³n refugiada centroafricana. Las familias de acogida y las refugiadas no tienen acceso ni disponibilidad de alimentos en cantidad suficiente ni variedad para satisfacer sus necesidades. Bosobolo estÃ¡ en FASE 3 de inseguridad alimentaria que significa CRISIS.Atenderemos a 640 familias, 384 refugiadas y 256 de acogida (3840 personas: 1997 mujeres y 1843 hombres) con especial atenciÃ³n a los/as mÃ¡s vulnerables: mujeres embarazadas, lactantes, niÃ±os/as, personas enfermas y de edad.La respuesta cubre necesidades alimentarias inmediatas pero tambiÃ©n planteamos la actividad agrÃ­cola como medio de subsistencia y actividad generadora de ingresos.Para lograr una respuesta apropiada y de calidad hemos maximizado la participaciÃ³n de las personas afectadas.",Yes,0.993797719478607
Supporting the integrated prevention and treatment of severe malnourishment in children under 5 years old,SUPPORTING THE INTEGRATED PREVENTION AND TREATMENT OF SEVERE MALNOURISHMENT IN CHILDREN UNDER 5 YEARS OLD,"La desnutriciÃ³n infantil aguda es un problema de salud estructural en Burkina Faso, agravado en los Ãºltimos aÃ±os a causa de crisis alimentarias debidas a sequÃ­a y malas cosechas. El proyecto ofrecerÃ¡ atenciÃ³n a los niÃ±os/as menores de 5 aÃ±os afectados en el del Distrito Sanitario de Manni y mejorar las capacidades de detecciÃ³n y atenciÃ³n de la MAS del sistema pÃºblico de salud y los agentes comunitarios de la zona, con especial atenciÃ³n a la participaciÃ³n de las mujeres e integrando actividades relacionadas con el agua y la higiene.La poblaciÃ³n beneficiaria de las actividades previstas serÃ¡n 2.331 niÃ±as y niÃ±os menores de 5 aÃ±os con desnutriciÃ³n aguda grave (MAS) esperados cada aÃ±o en el nivel primario de salud, de los que un 15% (350) tendrÃ¡n complicaciones que les obliguen a ser hospitalizados en el CRENI.La coordinaciÃ³n de las actividades corresponderÃ¡ al equipo de Medicus Mundi AndalucÃ­a, en colaboraciÃ³n con la DRS Este y el Distrito de Salud (DS) de Manni.",Yes,0.993784427642822
Protection and Solutions,PROTECTION AND SOLUTIONS,"Ensure full respect for the rights of the individual and communities in accordance with the letter and the spirit of the relevant bodies of law (international humanitarian, human rights, and refugee law). This involves both legal and practical approaches for implementation in humanitarian situations, including efforts to ensure humanitarian access, incorporate protection strategies in assistance programming and other measures to reduce vulnerability and uphold human dignity for all victims of conflict and disasters. Activities included herein should be linked to relevant GJD/Human Rights elements.",Yes,0.993762314319611
Protection and Solutions,PROTECTION AND SOLUTIONS,"Ensure full respect for the rights of the individual and communities in accordance with the letter and the spirit of the relevant bodies of law (international humanitarian, human rights, and refugee law). This involves both legal and practical approaches for implementation in humanitarian situations, including efforts to ensure humanitarian access, incorporate protection strategies in assistance programming and other measures to reduce vulnerability and uphold human dignity for all victims of conflict and disasters. Activities included herein should be linked to relevant GJD/Human Rights elements.",Yes,0.993762314319611
Protection and Solutions,PROTECTION AND SOLUTIONS,"Ensure full respect for the rights of the individual and communities in accordance with the letter and the spirit of the relevant bodies of law (international humanitarian, human rights, and refugee law). This involves both legal and practical approaches for implementation in humanitarian situations, including efforts to ensure humanitarian access, incorporate protection strategies in assistance programming and other measures to reduce vulnerability and uphold human dignity for all victims of conflict and disasters. Activities included herein should be linked to relevant GJD/Human Rights elements.",Yes,0.993762314319611
IMPROVEMENT OF THE NUTRITIONAL STATUS OF CHILDREN IN THE MOST VULNERABLE COMMUNITIES OF MALI,IMPROVEMENT OF THE NUTRITIONAL STATUS OF CHILDREN IN THE MOST VULNERABLE COMMUNITIES OF MALI,"TÃ­tulo completo del proyecto: MEJORA DEL ESTADO NUTRICIONAL DE LOS NIÃOS Y NIÃAS DE LAS COMUNIDADES MÃS VULNERABLES DE MAL :: afianzar y ampliar el foco de atenciÃ³n en los distritos mÃ¡s vulnerables y afectados por la crisis nutricional del sur de Mali.Acciones que integran el proyecto:- PromociÃ³n y apoyo a la lactancia materna.-  Mejoramiento de la alimentaciÃ³n complementaria a partir de los 6 meses de edad.- Mejoramiento de prÃ¡cticas de higiene incluyendo el lavado de manos.- SuplementaciÃ³n de Vitamina A, - SuplementaciÃ³n con zinc terapÃ©utico en el manejo de la diarrea.- ProvisiÃ³n de micronutrientes en polvo.- DesparasitaciÃ³n y vacunaciÃ³n de niÃ±os y niÃ±as.- SuplementaciÃ³n de Hierro y Ãcido FÃ³lico para prevenciÃ³n y/o tratamiento de la anemia en mujeres embarazadas.- PrevenciÃ³n de la deficiencia de Iodo, a travÃ©s de sal yodada.- FortificaciÃ³n con micronutrientes a los alimentos bÃ¡sicos.Esta intervenciÃ³n incluye el fortalecimiento de las capacidades de las familias mÃ¡s vulnerables para que estÃ©n mÃ¡s preparadas para prevenir futuros casos de desnutriciÃ³n crÃ³nica. Se reforzarÃ¡n las actividades de sensibilizaciÃ³n y participaciÃ³n de las familias, con el fin de incorporar habilidades sobre las buenas prÃ¡cticas de alimentaciÃ³n para sus hijos, las formas de variar su dieta, los beneficios de la lactancia materna exclusiva y las prÃ¡cticas de alimentaciÃ³n e higiene que afectan negativamente a la salud y bienestar de sus niÃ±os.",Yes,0.993754327297211
Humanitarian assistance for displaced people because of Other Situations of Violence in the department of Peten Guatemala,HUMANITARIAN ASSISTANCE FOR DISPLACED PEOPLE BECAUSE OF OTHER SITUATIONS OF VIOLENCE IN THE DEPARTMENT OF PETEN GUATEMALA,"Este proyecto responde a la situaciÃ³n de crisis humanitaria ocasionada por el desplazamiento masivo de poblaciÃ³n del norte de CentroamÃ©rica en situaciÃ³n de vulnerabilidad econÃ³mica, social, ambiental y/o polÃ­tica que llega al Departamento de PetÃ©n (Guatemala) en su trÃ¡nsito hacia MÃ©xico y los EE.UU. El proyecto se orienta a fortalecer las capacidades tÃ©cnicas, estratÃ©gicas y materiales de las socias locales participantes en el proyecto para hacer frente a la creciente demanda de refugio por parte de la poblaciÃ³n migrante en trÃ¡nsito, brindar refugio adecuado, a la vez que se atiende y apoya las solicitudes de refugio en coordinaciÃ³n con titulares de obligaciones. Asimismo, el proyecto incluye acciones de recogida de testimonio, incidencia y sensibilizaciÃ³n en Guatemala y la CAV.",Yes,0.993747591972351
Start Fund Bangladesh - Implementation,START FUND BANGLADESH - IMPLEMENTATION,"The project aims to address the ongoing needs of over 840,000 Rohingya refugees, who were displaced by the Myanmar military in August 2017. UK support provides food aid to around one million of them since the influx in August 2017, improved shelter for 400,000 families and clean water and sanitation for over 300,000 people. They also get cooking gas to stop the destruction of forest for firewood. Over 500,000 people will also be supported for sexual and reproductive health and over one million people with other health services. The vulnerable Bangladeshi communities, who host them will also get support. Thus, both groups will lead more fulfilling and meaningful lives. The project will also strengthen disaster preparedness and help to reduce the cost for disaster response through a joint UN and civil-society programme. Around 500,000 people will get timely and cost-effective aid following disasters.",Yes,0.993747472763062
Start Fund Bangladesh - Implementation,START FUND BANGLADESH - IMPLEMENTATION,"The project aims to address the ongoing needs of over 840,000 Rohingya refugees, who were displaced by the Myanmar military in August 2017. UK support provides food aid to around one million of them since the influx in August 2017, improved shelter for 400,000 families and clean water and sanitation for over 300,000 people. They also get cooking gas to stop the destruction of forest for firewood. Over 500,000 people will also be supported for sexual and reproductive health and over one million people with other health services. The vulnerable Bangladeshi communities, who host them will also get support. Thus, both groups will lead more fulfilling and meaningful lives. The project will also strengthen disaster preparedness and help to reduce the cost for disaster response through a joint UN and civil-society programme. Around 500,000 people will get timely and cost-effective aid following disasters.",Yes,0.993747472763062
Start Fund Bangladesh - Implementation,START FUND BANGLADESH - IMPLEMENTATION,"The project aims to address the ongoing needs of over 840,000 Rohingya refugees, who were displaced by the Myanmar military in August 2017. UK support provides food aid to around one million of them since the influx in August 2017, improved shelter for 400,000 families and clean water and sanitation for over 300,000 people. They also get cooking gas to stop the destruction of forest for firewood. Over 500,000 people will also be supported for sexual and reproductive health and over one million people with other health services. The vulnerable Bangladeshi communities, who host them will also get support. Thus, both groups will lead more fulfilling and meaningful lives. The project will also strengthen disaster preparedness and help to reduce the cost for disaster response through a joint UN and civil-society programme. Around 500,000 people will get timely and cost-effective aid following disasters.",Yes,0.993747472763062
